Index 704:  Dabrowa Chochol Kandora 
Index 705:  Camillo Pieniak 
Index 706:  Bregula Czubala 
Index 707:  Popanda Kregiel Zalecki Kawicki 
Index 708:  Bilskan Gorecki Filipek Lichota Cieslik Banalow 
Index 709:  Markiel 
Index 710:  Krawiec Chlopek Barylka Dziekan 
Index 711:  Gwiazda Mathias 
Index 712:  Ceglarz 
Index 713:  Radziej Tomalak Chinski 
Index 714:  Medrzec 
Index 715:  Soplica Matczak Bartnik Sawicki 
Index 716:  Paterek Antczak Kielski Harazim 
Index 717:  Sobczak Walczak Kobylka Orlicki 
Index 719:  Aleksandrowicz Janosik 
Index 720:  Kulasek Serocki Jaromin 
Index 721:  Konczak Tomalik 
Index 722:  Kowalik Banczyk 
Index 723:  Holewik 
Index 724:  Nowicki Siemion lasecka Botwina 
Index 726:  Barczyk Wiejski Iwanski 
Index 727:  Serwata 
Index 728:  Pietras 
Index 729:  Kupczak 
Index 730:  Kopycki Mordyan Cisasny Wantuch 
Index 731:  Mroczek 
Index 733:  Witczak 
Index 735:  Kulesza Mazurek Jozwiak Barszcz 
Index 736:  Dmitruk Kowolik 
Index 737:  Tkaczyk 
Index 738:  Grabysz 
Index 739:  Zaluski Wozniak 
Index 740:  Misztal Kuzniar 
Index 742:  Wypchlo 
Index 744:  Smolarz Dowmont Jonkisz Soprych 
Index 745:  Wysocki 
Index 746:  Chorzyk 
Index 747:  Budzisz 
Index 752:  Wojtyra Styczen 
